timestamp,user_id,neck_angle,trunk_angle,upper_arm_angle,lower_arm_angle,wrist_score,leg_supported,monitor_distance_cm,rula_score,risk_level,vdt_compliant
2026-05-07 16:55:11,user_987,22,22,51,104,1,False,54,3,Low,False
2026-05-07 18:25:11,user_827,43,28,33,88,4,True,42,6,Medium,False
2026-05-07 19:55:11,user_417,0,26,30,98,4,True,50,6,Medium,False
2026-05-07 21:25:11,user_849,38,7,8,66,2,True,51,1,Negligible,True
2026-05-07 22:55:11,user_480,18,25,35,119,2,False,57,3,Low,True
2026-05-08 00:25:11,user_602,2,20,20,116,3,False,66,5,Medium,False
2026-05-08 01:55:11,user_543,11,28,11,94,2,False,56,1,Negligible,True
2026-05-08 03:25:11,user_718,42,7,35,78,2,False,53,3,Low,True
2026-05-08 04:55:11,user_127,36,4,14,105,4,False,79,6,Medium,True
2026-05-08 06:25:11,user_375,22,15,5,111,1,True,67,3,Low,True
2026-05-08 07:55:11,user_630,29,8,54,104,3,False,70,2,Negligible,True
2026-05-08 09:25:11,user_595,2,25,33,115,4,False,69,7,High,False
2026-05-08 10:55:11,user_412,25,2,0,84,4,True,49,1,Negligible,True
2026-05-08 12:25:11,user_731,9,16,14,62,2,True,63,7,High,False
2026-05-08 13:55:11,user_269,24,6,8,82,3,True,73,2,Negligible,True
2026-05-08 15:25:11,user_369,1,8,59,75,3,False,50,6,Medium,False
2026-05-08 16:55:11,user_746,16,21,40,68,1,False,76,2,Negligible,True
2026-05-08 18:25:11,user_383,10,7,8,85,3,True,66,5,Medium,False
2026-05-08 19:55:11,user_961,2,22,54,107,2,True,56,4,Low,True
2026-05-08 21:25:11,user_676,14,10,20,119,3,True,41,5,Medium,True
2026-05-08 22:55:11,user_870,28,19,45,81,3,False,46,6,Medium,False
2026-05-09 00:25:11,user_834,12,22,59,120,4,False,43,3,Low,False
2026-05-09 01:55:11,user_916,8,26,26,97,1,False,71,3,Low,True
2026-05-09 03:25:11,user_601,17,4,12,111,4,False,41,7,High,False
2026-05-09 04:55:11,user_530,20,16,23,101,3,False,41,1,Negligible,True
2026-05-09 06:25:11,user_802,27,3,34,72,1,False,79,4,Low,True
2026-05-09 07:55:11,user_826,8,14,55,88,4,True,80,6,Medium,True
2026-05-09 09:25:11,user_530,40,14,2,66,1,False,51,1,Negligible,True
2026-05-09 10:55:11,user_597,31,10,47,95,2,False,59,3,Low,True
2026-05-09 12:25:11,user_892,37,23,60,78,3,False,60,5,Medium,False
2026-05-09 13:55:11,user_929,13,0,29,105,4,False,44,2,Negligible,True
2026-05-09 15:25:11,user_531,31,16,23,111,1,False,61,4,Low,False
2026-05-09 16:55:11,user_827,34,23,32,93,3,False,72,7,High,False
2026-05-09 18:25:11,user_132,27,25,19,61,3,True,59,5,Medium,True
2026-05-09 19:55:11,user_199,38,25,25,102,4,True,52,2,Negligible,True
2026-05-09 21:25:11,user_771,25,21,39,89,3,True,57,3,Low,False
2026-05-09 22:55:11,user_379,31,11,48,82,3,True,64,7,High,False
2026-05-10 00:25:11,user_725,27,3,32,72,2,True,78,7,High,False
2026-05-10 01:55:11,user_445,33,19,3,115,1,True,56,7,High,False
2026-05-10 03:25:11,user_870,39,6,47,90,2,True,49,7,High,False
2026-05-10 04:55:11,user_996,26,17,7,103,2,True,72,5,Medium,False
2026-05-10 06:25:11,user_935,45,10,50,97,3,False,41,6,Medium,True
2026-05-10 07:55:11,user_458,8,29,17,105,3,False,67,7,High,False
2026-05-10 09:25:11,user_196,24,23,47,111,1,False,45,4,Low,True
2026-05-10 10:55:11,user_752,11,30,37,61,2,True,80,4,Low,True
2026-05-10 12:25:11,user_492,20,5,40,107,3,True,72,7,High,False
2026-05-10 13:55:11,user_655,30,27,46,85,1,False,76,4,Low,False
2026-05-10 15:25:11,user_210,4,21,18,99,4,True,73,2,Negligible,True
2026-05-10 16:55:11,user_826,0,19,27,102,1,True,49,4,Low,True
2026-05-10 18:25:11,user_104,26,14,46,71,4,True,55,2,Negligible,True
2026-05-10 19:55:11,user_985,30,8,39,118,1,True,58,1,Negligible,True
2026-05-10 21:25:11,user_723,2,12,15,100,3,False,61,5,Medium,True
2026-05-10 22:55:11,user_631,21,11,27,101,4,True,51,7,High,False
2026-05-11 00:25:11,user_697,6,22,30,104,3,False,43,5,Medium,False
2026-05-11 01:55:11,user_951,16,2,16,104,1,True,64,4,Low,True
2026-05-11 03:25:11,user_546,30,7,53,88,1,True,52,7,High,False
2026-05-11 04:55:11,user_243,24,23,10,96,1,True,55,6,Medium,True
2026-05-11 06:25:11,user_651,20,21,22,112,2,False,51,1,Negligible,True
2026-05-11 07:55:11,user_935,40,5,29,76,2,True,75,1,Negligible,True
2026-05-11 09:25:11,user_815,35,24,49,72,2,True,78,3,Low,True
2026-05-11 10:55:11,user_571,14,12,33,119,4,False,55,6,Medium,False
2026-05-11 12:25:11,user_325,1,30,25,85,1,True,48,2,Negligible,True
2026-05-11 13:55:11,user_214,21,10,3,78,3,True,44,7,High,False
2026-05-11 15:25:11,user_424,21,8,52,112,1,True,73,7,High,False
2026-05-11 16:55:11,user_517,23,20,22,118,3,True,59,3,Low,True
2026-05-11 18:25:11,user_996,42,15,56,74,3,True,51,4,Low,False
2026-05-11 19:55:11,user_502,44,26,13,70,3,True,47,5,Medium,True
2026-05-11 21:25:11,user_762,11,7,13,114,1,False,56,6,Medium,False
2026-05-11 22:55:11,user_348,2,27,30,73,1,True,61,6,Medium,True
2026-05-12 00:25:11,user_792,38,15,57,75,4,True,59,5,Medium,True
2026-05-12 01:55:11,user_188,43,30,39,98,2,True,70,4,Low,True
2026-05-12 03:25:11,user_375,5,5,24,115,4,True,53,1,Negligible,True
2026-05-12 04:55:11,user_699,16,16,39,118,3,True,49,7,High,False
2026-05-12 06:25:11,user_715,8,27,17,91,2,False,56,3,Low,False
2026-05-12 07:55:11,user_562,10,12,1,77,4,True,71,2,Negligible,True
2026-05-12 09:25:11,user_810,25,9,13,60,2,False,71,3,Low,True
2026-05-12 10:55:11,user_434,17,16,9,94,2,True,50,3,Low,True
2026-05-12 12:25:11,user_338,1,2,26,61,1,True,48,1,Negligible,True
2026-05-12 13:55:11,user_277,0,7,34,79,2,False,69,1,Negligible,True
2026-05-12 15:25:11,user_222,8,10,38,101,4,False,74,3,Low,False
2026-05-12 16:55:11,user_723,32,0,23,78,2,False,49,4,Low,False
2026-05-12 18:25:11,user_389,13,30,16,68,4,True,72,2,Negligible,True
2026-05-12 19:55:11,user_847,7,14,33,98,3,True,59,7,High,False
2026-05-12 21:25:11,user_593,29,8,31,102,3,True,48,5,Medium,False
2026-05-12 22:55:11,user_813,3,2,36,73,2,False,57,5,Medium,True
2026-05-13 00:25:11,user_118,38,5,44,61,1,False,70,7,High,False
2026-05-13 01:55:11,user_603,22,16,56,96,3,False,47,2,Negligible,True
2026-05-13 03:25:11,user_767,11,29,38,97,3,True,75,7,High,False
2026-05-13 04:55:11,user_417,31,3,21,118,1,False,72,4,Low,True
2026-05-13 06:25:11,user_304,45,28,55,78,4,False,74,6,Medium,False
2026-05-13 07:55:11,user_960,39,4,3,96,1,False,55,2,Negligible,True
2026-05-13 09:25:11,user_981,27,4,9,78,2,False,80,6,Medium,True
2026-05-13 10:55:11,user_105,18,25,41,73,4,False,51,3,Low,True
2026-05-13 12:25:11,user_137,38,2,25,95,1,False,58,7,High,False
2026-05-13 13:55:11,user_234,23,27,22,80,1,False,43,4,Low,True
2026-05-13 15:25:11,user_257,32,12,50,105,1,False,56,7,High,False
2026-05-13 16:55:11,user_213,7,4,1,78,3,True,70,7,High,False
2026-05-13 18:25:11,user_288,22,3,36,111,3,True,74,6,Medium,False
2026-05-13 19:55:11,user_851,24,1,34,91,2,False,53,2,Negligible,True
2026-05-13 21:25:11,user_339,31,20,40,120,3,False,73,5,Medium,False
